Dish Name,Competative Market Price,Market Price Change Relative to Goli
Chicken Curry Full,116.2412587413,16.2412587413
Chicken Curry Full,116.2412587413,16.2412587413
Chicken curry Half,179.0705128205,79.0705128205
Butter Chicken Half,137.2374429224,37.2374429224
Butter Chicken Full,97.2320709106,-2.7679290894
Tandoori Chicken Half,117.8819444444,17.8819444444
Tandoori Chicken Full,99.4523326572,-0.5476673428
Hyderabadi Chicken Fry Piece Biryani Half,158.5526315789,58.5526315789
Hyderabadi Chicken Fry Piece Biryani Full,106.3157894737,6.3157894737
Hyderabadi Mutton Dum Biryani Full,115.8333333333,15.8333333333
Hyderabadi Mutton Dum Biryani Half,187.7232142857,87.7232142857
Rajma Rice Combo,0,0
Chole Rice Combo,0,0
Lemon Rice Combo [Full],171.875,71.875
Veg Platter ,96.5111111111,-3.4888888889
Non Veg Royal Platter,63.029047619,-36.970952381
Chicken Platter,71.6666666667,-28.3333333333
Omlatte,0,0
Bread Omlatte,0,0
Chole Bathure,0,0
Chole Kulche Amritsari,112.5,12.5
Chicken Garlic Tikka Half,179.4444444444,79.4444444444
Chicken Garlic Tikka Full,137.8947368421,37.8947368421
Chicken Pudina Tikka Full,108.0555555556,8.0555555556
Chicken Pudina Tikka Half,162.0833333333,62.0833333333
Paneer Garlic Tikka,106.375,6.375
Paneer Pahadi Tikka,110.9375,10.9375
Paneer Pudina Tikka,132.2321428571,32.2321428571
Chicken Roast Special,154.9444444444,54.9444444444
Chicken Leg Malai [2 Pieces],190.3333333333,90.3333333333
Chicken Leg Afgani [2 Pieces],190.3333333333,90.3333333333
Paneer Tikka Full,119.2984693878,19.2984693878
Paneer Tikka Half,189.925170068,89.925170068
Chicken Tikka Full,135.5771305286,35.5771305286
Chicken Tikka Half,203.5151515152,103.5151515152
Chicken Amritsari Tikka Half,130.5555555556,30.5555555556
Chicken Amritsari Tikka Full,112.2807017544,12.2807017544
Chicken Afghani Tikka Full,171.9298245614,71.9298245614
Chicken Afgani Tikka Half,266.6666666667,166.6666666667
Chicken Malai Tikka Half,202.1212121212,102.1212121212
Chicken Malai Tikka Full,132.9186602871,32.9186602871
Chicken Pahadi Tikka Full,140.8771929825,40.8771929825
Chicken Pahadi Tikka Half,193.25,93.25
Fish Tikka Half,192.556561086,92.556561086
Fish Tikka Full,113.7834224599,13.7834224599
Tandoori Garlic Chicken Full,136.231884058,36.231884058
Tandoori Garlic Chicken Half,92.9824561404,-7.0175438596
Tandoori Malai Chicken Full,93.75,-6.25
Tandoori Malai Chicken Half,89.4736842105,-10.5263157895
Tandoori Chicken Kali Mirch Full,90.1286764706,-9.8713235294
Tandoori Chicken Kalimirch Half,99.269005848,-0.730994152
Tandoori Chicken Afgani Half,99.269005848,-0.730994152
Tandoori Chicken Afghani Full,90.1286764706,-9.8713235294
Tandoori Chicken Pahadi Half,99.269005848,-0.730994152
Tandoori Chicken Pahadi Full,90.1286764706,-9.8713235294
Chicken Seekh Kebab Full,120.3703703704,20.3703703704
Chicken Seekh Kabab Half,180.5555555556,80.5555555556
Chicken Reshmi Kabab Half,182.0512820513,82.0512820513
Chicken Reshmi Kebab Full,107.5757575758,7.5757575758
Mutton Seekh Kebab Full,126.5646258503,26.5646258503
Mutton Seekh Kabab Half,189.8469387755,89.8469387755
Veg Seekh Kabab,114.6031746032,14.6031746032
Corn Cheese Kabab,135.306122449,35.306122449
Fish Finger Half,184.1596638655,84.1596638655
Fish Finger Full,100.7932692308,0.7932692308
Chicken Fry Half,119.4444444444,19.4444444444
Chicken Fry Full,101.3333333333,1.3333333333
Fish Fry Full,110.8863636364,10.8863636364
Fish Fry Half,187.6538461538,87.6538461538
Dal Fry,106.4516129032,6.4516129032
Dal Tadka,112.027972028,12.027972028
Dal Makhani,113.6666666667,13.6666666667
Sev Tamater,133.3333333333,33.3333333333
Aloo Matar,126,26
Jeera Aloo,134.9333333333,34.9333333333
Aloo Gobhi,146.75,46.75
Aloo Palak,105.8333333333,5.8333333333
Bhindi Masala,118.9393939394,18.9393939394
Mixed Veg ,104.4791666667,4.4791666667
Mushroom Masala,127.8214285714,27.8214285714
Matar Mushroom,164.2857142857,64.2857142857
Egg Curry   ,131.7419354839,31.7419354839
Chicken Curry Half,179.0705128205,79.0705128205
Dhaniya Chicken Full,0,0
Dhaniya Chicken Half,0,0
Chicken Chettinad Half,0,0
Chicken Chettinad Full,0,0
Mutton Curry Half,159.4166666667,59.4166666667
Mutton Curry Full,92.0833333333,-7.9166666667
Chicken Home Style Half,233.3333333333,133.3333333333
Chicken Home Style Full,137.8787878788,37.8787878788
Mutton Home Style Half,213.3333333333,113.3333333333
Mutton Home Style Full,106.6666666667,6.6666666667
Fish Curry Full,109.0476190476,9.0476190476
Fish Curry Half,191.2912087912,91.2912087912
Kadhai Paneer ,94.3315508021,-5.6684491979
Paneer Butter Masala,93.8888888889,-6.1111111111
Paneer Tikka Masala,86.452104942,-13.547895058
Palak Paneer ,116.8229166667,16.8229166667
Matar Paneer ,104.25,4.25
hicken Palak Full,0,0
Chicken Palak Half,0,0
Rayalaseema Kodi Kura Full,0,0
Rayalseema Kodi Kura Half,0,0
Chicken Nilgiri Half,0,0
Chicken Nilgir Full,0,0
Kadhai Chicken Half,115.625,15.625
Kadhai Chicken Full,100.7142857143,0.7142857143
Chicken Kolhapuri Full,100.7777777778,0.7777777778
Chicken Kolhapuri Half,131.6666666667,31.6666666667
Chicken Tikka Masala Full,76.2621359223,-23.7378640777
Chicken Tikka Masala Half,131.6862745098,31.6862745098
Chicken Handi Full,97.5438596491,-2.4561403509
Chicken Handi Half,132.2368421053,32.2368421053
Bhuna Mutton Half,181.0344827586,81.0344827586
Mutton Bhuna Full,116.858974359,16.858974359
Mutton Rogan Josh Half,169.298245614,69.298245614
Mutton Rogan Josh Full,101.4035087719,1.4035087719
Keema Masala Full,99.5238095238,-0.4761904762
Keema Masala Half,184.7619047619,84.7619047619
Fish Tikka Masala Half,147.2491349481,47.2491349481
Fish Tikka Masala Full,78.2261029412,-21.7738970588
Bhuna Chicken Full,121.6836734694,21.6836734694
Bhuna Chicken Half,150.4761904762,50.4761904762
Mutton Boti,196.6666666667,96.6666666667
Tandoori Roti ,246.7391304348,146.7391304348
Butter Tandoori Roti ,251.6666666667,151.6666666667
Tandoori Paratha,375,275
Laccha Paratha ,208.5714285714,108.5714285714
Pudina Paratha,220,120
Cheese Garlic Paratha,176.4705882353,76.4705882353
Aloo Paratha,137.5,37.5
Gobhi Paratha,100,0
Paneer Paratha,136.3636363636,36.3636363636
Mixed Paratha,0,0
Plain Naan,140.3846153846,40.3846153846
Butter Naan ,173.5714285714,73.5714285714
Garlic Naan,156.3703703704,56.3703703704
Plain Rice Full,115.4464285714,15.4464285714
Plain Rice Half,166.1428571429,66.1428571429
Jeera Rice Half,187.4193548387,87.4193548387
Jeera Rice Full,117.935483871,17.935483871
Veg Pulav,117.7083333333,17.7083333333
Matar Pulav,0,0
Tadka Khichdi,0,0
Veg Biryani ,224.5182945736,124.5182945736
Egg Biryani,96.5833333333,-3.4166666667
Special Hyderabadi Keema Biryani,58.3333333333,-41.6666666667
Veg Roll ,247.7777777778,147.7777777778
Egg Roll ,132.5,32.5
Paneer Roll,154.5454545455,54.5454545455
Chicken Roll,165.9523809524,65.9523809524
Chilly Chicken Full,94.5951417004,-5.4048582996
Chilly Chicken Half,156.5964912281,56.5964912281
Chilly Paneer Full,111.953125,11.953125
Chilly Paneer Half,179.125,79.125
Veg Manchurian,113.1339031339,13.1339031339
Chicken Manchurian,147.2916666667,47.2916666667
Chicken Lollipop [6 Pieces],84.8901098901,-15.1098901099
Fried Rice,168.7903225806,68.7903225806
Egg Fried Rice,104.9242424242,4.9242424242
Chicken Fried Rice,123.5416666667,23.5416666667
Green Salad,143.6956521739,43.6956521739
Kachumber Salad,141.0714285714,41.0714285714
Roasted Papad,115,15
Fry Papad,107.6923076923,7.6923076923
Masala Papad,97.2222222222,-2.7777777778
Panjabi Salad,112.5,12.5
Onion Salad,228.1578947368,128.1578947368
