,0,1
0,"('Lemon Rice Combo [Full]', 'Non Veg Royal Platter')",0
1,"('Lemon Rice Combo [Full]', 'Chicken Platter')",0
2,"('Lemon Rice Combo [Full]', 'Chole Bathure')",0
3,"('Lemon Rice Combo [Full]', 'Chole Kulche Amritsari')",1
4,"('Lemon Rice Combo [Full]', 'Paneer Garlic Tikka')",0
5,"('Lemon Rice Combo [Full]', 'Paneer Pahadi Tikka')",0
6,"('Lemon Rice Combo [Full]', 'Paneer Pudina Tikka')",0
7,"('Lemon Rice Combo [Full]', 'Paneer Tikka Full')",0
8,"('Lemon Rice Combo [Full]', 'Veg Seekh Kabab')",0
9,"('Lemon Rice Combo [Full]', 'Corn Cheese Kabab')",0
10,"('Lemon Rice Combo [Full]', 'Dal Fry')",0
11,"('Lemon Rice Combo [Full]', 'Dal Makhani')",0
12,"('Lemon Rice Combo [Full]', 'Sev Tamater')",1
13,"('Lemon Rice Combo [Full]', 'Jeera Aloo')",0
14,"('Lemon Rice Combo [Full]', 'Aloo Gobhi')",0
15,"('Lemon Rice Combo [Full]', 'Aloo Palak')",0
16,"('Lemon Rice Combo [Full]', 'Mushroom Masala')",1
17,"('Lemon Rice Combo [Full]', 'Paneer Butter Masala')",0
18,"('Lemon Rice Combo [Full]', 'Paneer Tikka Masala')",0
19,"('Lemon Rice Combo [Full]', 'Tandoori Paratha')",0
20,"('Lemon Rice Combo [Full]', 'Pudina Paratha')",0
21,"('Lemon Rice Combo [Full]', 'Cheese Garlic Paratha')",0
22,"('Lemon Rice Combo [Full]', 'Aloo Paratha')",1
23,"('Lemon Rice Combo [Full]', 'Gobhi Paratha')",1
24,"('Lemon Rice Combo [Full]', 'Paneer Paratha')",0
25,"('Lemon Rice Combo [Full]', 'Plain Rice Full')",0
26,"('Lemon Rice Combo [Full]', 'Jeera Rice Full')",0
27,"('Lemon Rice Combo [Full]', 'Tadka Khichdi')",0
28,"('Lemon Rice Combo [Full]', 'Egg Biryani')",1
29,"('Lemon Rice Combo [Full]', 'Paneer Roll')",0
30,"('Lemon Rice Combo [Full]', 'Chicken Roll')",0
31,"('Lemon Rice Combo [Full]', 'Veg Manchurian')",1
32,"('Lemon Rice Combo [Full]', 'Chicken Manchurian')",0
33,"('Lemon Rice Combo [Full]', 'Fried Rice')",1
34,"('Lemon Rice Combo [Full]', 'Egg Fried Rice')",0
35,"('Lemon Rice Combo [Full]', 'Chicken Fried Rice')",0
36,"('Lemon Rice Combo [Full]', 'Green Salad')",1
37,"('Lemon Rice Combo [Full]', 'Kachumber Salad')",0
38,"('Lemon Rice Combo [Full]', 'Roasted Papad')",0
39,"('Lemon Rice Combo [Full]', 'Fry Papad')",0
40,"('Lemon Rice Combo [Full]', 'Masala Papad')",1
41,"('Lemon Rice Combo [Full]', 'Hyderabadi Mutton Dum Biryani')",0
42,"('Lemon Rice Combo [Full]', 'Mutton Bhuna')",1
43,"('Lemon Rice Combo [Full]', 'Tandoori Roti')",10
44,"('Lemon Rice Combo [Full]', 'Bhel')",0
45,"('Lemon Rice Combo [Full]', 'Cheese Chutney Half')",0
46,"('Lemon Rice Combo [Full]', 'Cold Drink')",0
47,"('Lemon Rice Combo [Full]', 'Cold Drink s')",0
48,"('Lemon Rice Combo [Full]', 'Hot Coffee')",0
49,"('Lemon Rice Combo [Full]', 'Masala Cheese Maggi')",0
50,"('Lemon Rice Combo [Full]', 'Tomato Soup')",0
51,"('Lemon Rice Combo [Full]', 'water bottle')",0
52,"('Lemon Rice Combo [Full]', 'Chicken Nilgir')",0
53,"('Lemon Rice Combo [Full]', 'Lachchha Paratha')",1
54,"('Lemon Rice Combo [Full]', 'Hyderabadi Chicken Fry Piece Biryani')",3
55,"('Lemon Rice Combo [Full]', 'Chicken Chettinad')",0
56,"('Lemon Rice Combo [Full]', 'Chicken Home Style')",4
57,"('Lemon Rice Combo [Full]', 'Chicken Tikka')",0
58,"('Lemon Rice Combo [Full]', 'Fish Curry')",0
59,"('Lemon Rice Combo [Full]', 'Plain Rice')",0
